team_id,team_title,match_date,home_away,xG,xGA,npxG,npxGA,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts,npxGD,league,year
121,Augsburg,2018-10-20 13:30:00,h,0.267706,1.098,0.267706,1.098,155,33,198,37,1,7,0,0,0.5453,d,0,1,0,1,-0.8302940000000001,Bundesliga,2018
121,Augsburg,2018-10-27 13:30:00,a,1.45577,0.616434,0.697996,0.616434,244,32,126,27,2,6,2,1,2.1433,w,1,0,0,3,0.0815619999999999,Bundesliga,2018
121,Augsburg,2018-11-03 14:30:00,h,2.61879,1.37885,2.61879,1.37885,159,21,248,22,7,6,2,2,2.2453,d,0,1,0,1,1.2399400000000005,Bundesliga,2018
121,Augsburg,2018-11-10 14:30:00,a,1.14191,1.82862,1.14191,1.82862,278,21,279,25,17,12,1,2,0.8732,l,0,0,1,0,-0.6867099999999999,Bundesliga,2018
121,Augsburg,2018-11-24 14:30:00,h,2.01274,3.21577,2.01274,3.21577,184,24,269,19,14,10,1,3,0.6996,l,0,0,1,0,-1.20303,Bundesliga,2018
121,Augsburg,2018-12-01 14:30:00,a,1.64707,0.710341,1.64707,0.710341,129,20,271,18,4,2,0,1,2.1172,l,0,0,1,0,0.936729,Bundesliga,2018
121,Augsburg,2018-12-08 14:30:00,a,0.768373,1.53502,0.768373,1.53502,264,27,144,23,2,13,0,1,0.7609,l,0,0,1,0,-0.7666470000000001,Bundesliga,2018
121,Augsburg,2018-12-15 14:30:00,h,2.00924,0.758425,2.00924,0.758425,243,35,202,24,7,5,1,1,2.311,d,0,1,0,1,1.2508150000000002,Bundesliga,2018
121,Augsburg,2018-12-18 19:30:00,a,0.728652,1.74712,0.728652,1.74712,193,31,255,33,3,6,2,2,0.5796,d,0,1,0,1,-1.018468,Bundesliga,2018
121,Augsburg,2018-12-23 14:30:00,h,0.382344,2.66718,0.382344,2.66718,309,31,208,32,7,8,2,3,0.1063,l,0,0,1,0,-2.2848360000000003,Bundesliga,2018
121,Augsburg,2019-01-19 14:30:00,h,0.869957,1.0413,0.869957,1.0413,294,23,286,17,3,3,1,2,1.2082,l,0,0,1,0,-0.1713429999999999,Bundesliga,2018
121,Augsburg,2019-01-26 14:30:00,a,0.777086,2.08047,0.777086,1.22042,305,23,225,14,4,9,0,2,0.3666,l,0,0,1,0,-0.443334,Bundesliga,2018
121,Augsburg,2019-02-03 14:30:00,h,3.79911,0.20019,2.2838,0.20019,195,30,239,23,4,6,3,0,2.9779,w,1,0,0,3,2.0836099999999997,Bundesliga,2018
121,Augsburg,2019-02-10 14:30:00,a,1.05801,1.66903,1.05801,1.66903,207,15,365,19,1,4,0,4,0.8963999999999999,l,0,0,1,0,-0.6110200000000001,Bundesliga,2018
121,Augsburg,2019-02-15 19:30:00,h,0.510867,2.20232,0.510867,2.20232,437,18,127,21,0,11,2,3,0.3095,l,0,0,1,0,-1.691453,Bundesliga,2018
121,Augsburg,2019-02-23 14:30:00,a,1.54501,2.01296,1.54501,2.01296,171,21,301,30,6,7,1,5,1.0506000000000002,l,0,0,1,0,-0.4679500000000001,Bundesliga,2018
121,Augsburg,2019-03-01 19:30:00,h,0.961029,2.85445,0.961029,2.85445,462,22,164,21,0,12,2,1,0.2839,w,1,0,0,3,-1.893421,Bundesliga,2018
121,Augsburg,2019-03-09 14:30:00,a,0.181299,2.35335,0.181299,2.35335,308,10,137,24,3,20,0,0,0.1189,d,0,1,0,1,-2.1720509999999997,Bundesliga,2018
121,Augsburg,2019-03-16 14:30:00,h,1.35782,1.4864,1.35782,1.4864,158,29,275,16,16,9,3,1,1.2475,w,1,0,0,3,-0.1285799999999999,Bundesliga,2018
121,Augsburg,2019-03-30 14:30:00,a,0.867874,1.76901,0.867874,1.76901,215,24,222,15,5,2,0,3,0.6442,l,0,0,1,0,-0.901136,Bundesliga,2018
121,Augsburg,2019-04-07 14:30:00,h,0.653608,3.60653,0.653608,3.60653,385,34,202,16,5,10,0,4,0.1051,l,0,0,1,0,-2.952922,Bundesliga,2018
121,Augsburg,2019-04-14 17:00:00,a,2.22016,2.09741,2.22016,2.09741,165,18,242,24,8,8,3,1,1.4608,w,1,0,0,3,0.1227499999999999,Bundesliga,2018
121,Augsburg,2019-04-20 14:30:00,h,2.39187,1.38001,2.39187,1.38001,277,23,293,15,9,5,6,0,2.0828,w,1,0,0,3,1.01186,Bundesliga,2018
121,Augsburg,2019-04-26 19:30:00,h,0.278207,2.9293,0.278207,2.9293,570,25,140,23,1,11,1,4,0.0664,l,0,0,1,0,-2.651093,Bundesliga,2018
121,Augsburg,2019-05-05 12:30:00,a,0.589384,1.82173,0.589384,1.82173,321,21,367,27,1,10,0,0,0.4513,d,0,1,0,1,-1.2323460000000002,Bundesliga,2018
121,Augsburg,2019-05-11 14:30:00,h,1.43088,2.5836,0.673101,1.82582,337,13,254,19,3,13,3,4,0.6039,l,0,0,1,0,-1.152719,Bundesliga,2018
121,Augsburg,2019-05-18 13:30:00,a,0.672581,4.15452,0.672581,4.15452,269,17,175,22,8,9,1,8,0.0558,l,0,0,1,0,-3.4819389999999997,Bundesliga,2018
122,Hertha Berlin,2018-08-25 16:30:00,h,1.03309,1.34412,1.03309,0.586343,286,24,288,20,4,3,1,0,1.0198,w,1,0,0,3,0.4467470000000001,Bundesliga,2018
122,Hertha Berlin,2018-09-02 16:00:00,a,0.566284,1.59561,0.566284,0.837837,258,24,189,24,3,9,2,0,0.5094,w,1,0,0,3,-0.271553,Bundesliga,2018
122,Hertha Berlin,2018-09-15 13:30:00,a,0.590795,2.23932,0.590795,1.48204,274,19,150,22,0,7,2,2,0.2651,d,0,1,0,1,-0.8912450000000001,Bundesliga,2018
122,Hertha Berlin,2018-09-22 13:30:00,h,3.9572,2.64706,3.9572,1.88928,284,16,310,17,7,5,4,2,2.1582,w,1,0,0,3,2.06792,Bundesliga,2018
122,Hertha Berlin,2018-09-25 16:30:00,a,0.94148,2.51866,0.94148,1.76088,244,14,263,25,5,10,1,3,0.3081,l,0,0,1,0,-0.8194,Bundesliga,2018
122,Hertha Berlin,2018-09-28 18:30:00,h,1.48921,2.40599,0.731438,2.40599,340,20,129,31,4,20,2,0,0.7248,w,1,0,0,3,-1.674552,Bundesliga,2018
122,Hertha Berlin,2018-10-06 13:30:00,a,1.00145,1.56562,1.00145,1.56562,272,16,231,21,4,6,0,0,0.9568,d,0,1,0,1,-0.5641700000000001,Bundesliga,2018
